_id,EJERCICIO,GRUPO,FUNCION,SUBFUNCION,PROGRAMA,DESCRIPCION CORTA,DESCRIPCION LARGA
201,2022,6,61,612,6124,Corp. Empr. Públ. Aragón,Corporación Empresarial Pública de Aragón
202,2022,6,61,612,6125,Planificación Económica,Planificación Económica
203,2022,6,61,612,6126,Apoyo Dllo Econ y Social,Apoyo al Desarrollo Económico y Social
204,2022,6,61,612,6127,Gastos no clasificados,Gastos no clasificados
205,2022,6,61,612,6128,Fondo Gastos Personal,Fondo de Gastos de Personal
206,2022,6,61,612,6129,Fondo Contingencia,Fondo de Contingencia de Ejecución Presupuestaria
207,2022,6,61,615,6152,Act Programas Europeos,Actuaciones relativas a Programas Europeos
208,2022,6,62,622,6221,Ordción y Prom Comercial,Ordenación y Promoción Comercial
209,2022,6,62,623,6231,Comerc Ext. y Rel.Ec. Int,Comercio Exterior y Relaciones Económicas Inter
210,2022,6,63,631,6311,Gestión e Inspec Tributos,Gestión e Inspección de Tributos
211,2022,6,63,631,6312,Control Interno y Contab,Control Interno y Contabilidad
212,2022,6,63,631,6313,Gestión del Patrimonio,Gestión del Patrimonio
213,2022,6,63,631,6314,Gestión de Tesorería,Gestión de Tesorería
214,2022,6,63,631,6315,Estudios Econ y Regulació,Estudios Económicos y Regulación
215,2022,6,64,641,6411,Jta Cons. Contr.Ad y Reg,Jta Consultiva Contratación Admtva y Registros
216,2022,6,64,641,6412,Contratación Pública,Contratación Pública
217,2022,6,64,642,6421,Acts. Defensa Competencia,Actuaciones en materia de Defensa de Competencia
218,2022,7,71,711,7111,"Serv.Gen. Agricultura, Ganadería y Medio Ambiente","Serv.Gen. Agricultura, Ganadería y Medio Ambiente"
219,2022,7,71,712,7121,Dllo Agroalim y Fmto Asoc,Desarrollo Agroalimentario y Fomento Asociativo
220,2022,7,71,712,7122,Coordinación y Gestión de Servicios Agroambientale,Coordinación y Gestión de Servicios Agroambient.
221,2022,7,71,712,7123,Producción Agraria y Gestión de Ayudas,Producción Agraria y Gestión de Ayudas
222,2022,7,71,712,7128,Política Agraria Comunitaria,Política Agraria Comunitaria
223,2022,7,71,716,7161,Calidad y Seguridad Alimentaria,Calidad y Seguridad Alimentaria
224,2022,7,72,721,7211,"Serv.Gen.  Industria, Competitividad y Des. Empres","Serv.Gen.  Industria, Competitividad y Des. Empres"
225,2022,7,72,722,7221,Act Admtvas sobre Industria,Actuaciones Administrativas sobre Industria
226,2022,7,72,723,7231,Fomento Industrial,Fomento Industrial
227,2022,7,73,731,7311,Fmto y Gestión Energética,Fomento y Gestión Energética
228,2022,7,73,731,7312,Apoyo a la Minería,Apoyo a la Minería
229,2022,7,75,751,7511,Ordción y Prom y Fmto Turismo,"Ordenación, Promoción y Fomento del Turismo"
230,2022,9,91,911,9111,Transfer AA.PP. Comarcal,Transferencias a Administraciones Comarcales
231,2022,9,91,911,9112,Cohesión Comarcal,Cohesión Comarcal
