_id,Ano,GRUPO,FUNCION,SUBFUNCION,PROGRAMA,DESCRIPCION CORTA,DESCRIPCION LARGA
202,2019,6,62,622,6221,Ordción y Prom Comercial,Ordenación y Promoción Comercial
203,2019,6,62,623,6231,Comerc Ext. y Rel.Ec. Int,Comercio Exterior y Relaciones Económicas Inter
204,2019,6,63,631,6311,Gestión e Inspec Tributos,Gestión e Inspección de Tributos
205,2019,6,63,631,6312,Control Interno y Contab,Control Interno y Contabilidad
206,2019,6,63,631,6313,Gestión del Patrimonio,Gestión del Patrimonio
207,2019,6,63,631,6314,Gestión de Tesorería,Gestión de Tesorería
208,2019,6,63,631,6315,Estudios Econ y Regulació,Estudios Económicos y Regulación
209,2019,6,64,641,6411,Jta Cons. Contr.Ad y Reg,Jta Consultiva Contratación Admtva y Registros
210,2019,6,64,641,6412,Oficina de Contratación Pública,Oficina de Contratación Pública
211,2019,6,64,642,6421,Acts. Defensa Competencia,Actuaciones en materia de Defensa de Competencia
212,2019,7,71,711,7111,Serv.Gen. Desarrollo Rural y Sostenibilidad,Serv.Gen. Desarrollo Rural y Sostenibilidad
213,2019,7,71,712,7121,Dllo Agroalim y Fmto Asoc,Desarrollo Agroalimentario y Fomento Asociativo
214,2019,7,71,712,7122,Coordinación y Gestión de Servicios Agroambientale,Coordinación y Gestión de Servicios Agroambient.
215,2019,7,71,712,7123,Producción Agraria y Gestión de Ayudas,Producción Agraria y Gestión de Ayudas
216,2019,7,71,712,7128,Política Agraria Comunitaria,Política Agraria Comunitaria
217,2019,7,71,716,7161,Calidad y Seguridad Alimentaria,Calidad y Seguridad Alimentaria
218,2019,7,72,722,7221,Act Admtvas sobre Industria,Actuaciones Administrativas sobre Industria
219,2019,7,72,723,7231,Fomento Industrial,Fomento Industrial
220,2019,7,73,731,7311,Fmto y Gestión Energética,Fomento y Gestión Energética
221,2019,7,73,731,7312,Apoyo a la Minería,Apoyo a la Minería
222,2019,7,75,751,7511,Ordción y Prom y Fmto Turismo,"Ordenación, Promoción y Fomento del Turismo"
223,2019,9,91,911,9111,Transfer AA.PP. Comarcal,Transferencias a Administraciones Comarcales
224,2019,9,91,911,9112,Cohesión Comarcal,Cohesión Comarcal
